Modo,Repeticion,XInicial,YInicial,XFinal,YFinal,XObjetivo,YObjetivo,ErrorFinal_px,ErrorAngularFinal_deg,TiempoTotal_s,TiempoLlegada_s,LongitudTrayectoria_px,DistanciaRecta_px,Eficiencia
ESP32,1,113,444,426,123,436,111,15.6204993518133,1.5,9.84559941291809,8.7702739238739,476.399129927937,463.915940661668,0.9737967840786
ESP32,2,126,435,435,123,436,111,12.0415945787923,7,9.82364892959595,7.85969662666321,469.746904272532,448.414986368654,0.954588486459716
ESP32,3,125,429,430,125,436,111,15.2315462117278,3.59999999999999,8.07998943328857,7.57000589370728,458.199033565392,444.797706828621,0.970752171534517
ESP32,4,127,433,438,129,436,111,18.1107702762748,4.80000000000001,8.78385376930237,7.35913157463074,467.397227102581,446.279060678406,0.954817518804963
ESP32,5,125,431,435,132,436,111,21.0237960416286,4.59999999999999,9.86368417739868,7.69761753082275,500.083926341661,446.229761445827,0.892309746306382
ESP32,6,120,441,425,122,436,111,15.556349186104,4.40000000000001,10.0719640254974,8.81779742240906,476.34765649751,456.898238123108,0.959169698624299
ESP32,7,116,435,432,139,436,111,28.2842712474619,2.90000000000001,10.4038336277008,8.69510364532471,471.648902300356,455.38555093459,0.965518097706905
ESP32,8,110,435,435,136,436,111,25.0199920063936,4.40000000000001,10.9888741970062,9.56779026985168,490.169740623018,459.621583479279,0.937678410942073
ESP32,9,115,425,428,132,436,111,22.4722050542442,6,10.0837171077728,8.99792170524597,459.08780489209,449.040087297337,0.978113734480237
ESP32,10,109,429,423,119,436,111,15.2643375224737,3,9.4086697101593,8.86704039573669,475.587061380074,456.1282714325,0.959084694417235
Servidor,1,121,430,440,128,436,111,17.464249196573,8.30000000000001,8.90586280822754,7.52862858772278,477.563292636434,448.314621666526,0.938754356917931
Servidor,2,124,435,436,135,436,111,24,8.30000000000001,8.82838249206543,7.53107357025146,473.523789879934,449.799955535791,0.949899382351713
Servidor,3,121,433,419,119,436,111,18.7882942280559,4.90000000000001,7.78091216087341,7.78091216087341,462.948848567742,450.454215209493,0.973010769122972
Servidor,4,117,434,428,120,436,111,12.0415945787923,7.09999999999999,7.69347596168518,7.37273645401001,461.399974255812,453.971364735707,0.983899848429582
Servidor,5,122,434,435,127,436,111,16.0312195418814,4.69999999999999,8.53068804740906,7.39802885055542,468.322463262429,450.471974710969,0.961884193153772
Servidor,6,109,440,422,117,436,111,15.2315462117278,7.69999999999999,9.31081986427307,8.94249558448792,475.796860784222,463.864204266723,0.974920690948168
Servidor,7,104,444,428,130,436,111,20.6155281280883,7.5,9.75178503990173,8.69611644744873,475.722116431276,470.226541147988,0.98844792980298
Servidor,8,117,429,424,114,436,111,12.369316876853,7.5,9.53000926971436,8.85971999168396,473.18707804831,450.427574644359,0.95190168020263
Servidor,9,115,433,423,114,436,111,13.3416640641263,5.90000000000001,9.53113770484924,8.82611489295959,474.436391815308,454.67021015237,0.958337551663548
Servidor,10,113,430,425,127,436,111,19.4164878389476,3,9.35757160186768,8.40312457084656,458.299409990293,453.971364735707,0.990556293199945
